Counter.Register(290,130)	RAM(600,240)[0]	RAM(600,240)[1]	RAM(600,240)[2]	RAM(600,240)[3]	R
0000	0000 0000	0000 0000	0000 0000	0000 0000	0000 0000
0001	0000 0000	0000 0000	0000 0000	0000 0000	0000 0101
0010	0000 0000	0000 0000	0000 0000	0000 0000	0111 0101
0011	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
0100	0000 0000	0111 0101	0000 0000	0000 0000	0111 0001
0101	0000 0000	0111 0101	0000 0000	0000 0000	0100 0001
0110	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
0111	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1000	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1001	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1010	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1011	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1100	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1101	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1110	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
1111	0000 0000	0111 0101	0000 0000	0000 0000	0111 0101
